类别,precision,recall,f1-score,support,accuracy,AP
开花成熟-中旱,0.7636363636363637,0.84,0.8000000000000002,50.0,0.84,0.895570703296005
开花成熟-轻旱,0.8363636363636363,0.92,0.8761904761904761,50.0,0.92,0.9571910070429939
开花成熟-适宜,0.6447368421052632,0.98,0.7777777777777777,50.0,0.98,0.9503612474873668
开花成熟-重旱,1.0,0.36,0.5294117647058824,50.0,0.36,0.8344047182709198
抽穗开花-中旱,0.6666666666666666,0.24,0.3529411764705882,50.0,0.24,0.48710903543019335
抽穗开花-轻旱,0.7857142857142857,0.44,0.5641025641025641,50.0,0.44,0.5537399485955695
抽穗开花-适宜,0.5376344086021505,1.0,0.6993006993006993,50.0,1.0,0.5616812306118493
抽穗开花-重旱,0.9743589743589745,0.76,0.853932584269663,50.0,0.76,0.8703617492079114
起身拔节-中旱,0.3137254901960784,0.32,0.3168316831683168,50.0,0.32,0.2658481084025094
起身拔节-轻旱,0.2377622377622377,0.68,0.3523316062176165,50.0,0.68,0.49446258828442036
起身拔节-适宜,0.0666666666666666,0.02,0.0307692307692307,50.0,0.02,0.3107762411064273
起身拔节-重旱,0.7777777777777778,0.14,0.2372881355932203,50.0,0.14,0.5127181571018082
macro avg,0.6337536124875084,0.5583333333333332,0.5325731415471697,600.0,0.5583333333333332,0.6411853945698311
weighted avg,0.6337536124875084,0.5583333333333333,0.5325731415471696,600.0,0.5583333333333335,0.6411853945698314
